Source,ShoeNum,HandNum,Context,Detail
[E],0,0,Simulation Status,COMMENCING 1000000 SHOE SIMULATIONS
[E],1000000,54392909,Simulation Status,SUCCESS - SIMULATION COMPLETED IN 1930ms
