Source,ShoeNum,TableNum,Context,Detail
[A],3,31,Agent 3 avg. pnl/hand,-0.129032
[A],3,32,Agent 1 avg. pnl/hand,-0.500000
[A],3,32,Agent 2 avg. pnl/hand,0.125000
[A],3,32,Agent 3 avg. pnl/hand,-0.156250
[A],3,33,Agent 1 avg. pnl/hand,-0.515152
[A],3,33,Agent 2 avg. pnl/hand,0.090909
[A],3,33,Agent 3 avg. pnl/hand,-0.181818
[A],3,34,Agent 1 avg. pnl/hand,-0.529412
[A],3,34,Agent 2 avg. pnl/hand,0.073529
[A],3,34,Agent 3 avg. pnl/hand,-0.205882
[A],3,35,Agent 1 avg. pnl/hand,-0.471429
[A],3,35,Agent 2 avg. pnl/hand,0.114286
[A],3,35,Agent 3 avg. pnl/hand,-0.171429
[A],3,36,Agent 1 avg. pnl/hand,-0.486111
[A],3,36,Agent 2 avg. pnl/hand,0.055556
[A],3,36,Agent 3 avg. pnl/hand,-0.194444
[A],3,37,Agent 1 avg. pnl/hand,-0.500000
[A],3,37,Agent 2 avg. pnl/hand,0.000000
[A],3,37,Agent 3 avg. pnl/hand,-0.216216
[A],3,38,Agent 1 avg. pnl/hand,-0.513158
[A],3,38,Agent 2 avg. pnl/hand,0.039474
[A],3,38,Agent 3 avg. pnl/hand,-0.236842
[A],3,39,Agent 1 avg. pnl/hand,-0.512821
[A],3,39,Agent 2 avg. pnl/hand,0.012821
[A],3,39,Agent 3 avg. pnl/hand,-0.230769
[A],3,40,Agent 1 avg. pnl/hand,-0.525000
[A],3,40,Agent 2 avg. pnl/hand,-0.012500
[A],3,40,Agent 3 avg. pnl/hand,-0.175000
[A],3,41,Agent 1 avg. pnl/hand,-0.487805
[A],3,41,Agent 2 avg. pnl/hand,0.012195
[A],3,41,Agent 3 avg. pnl/hand,-0.182927
[A],3,42,Agent 1 avg. pnl/hand,-0.500000
[A],3,42,Agent 2 avg. pnl/hand,-0.011905
[A],3,42,Agent 3 avg. pnl/hand,-0.190476
[A],3,43,Agent 1 avg. pnl/hand,-0.511628
[A],3,43,Agent 2 avg. pnl/hand,-0.034884
[A],3,43,Agent 3 avg. pnl/hand,-0.209302
[E],3,44,Shoe Completed,
[A],4,44,Agent 1 avg. pnl/hand,-0.477273
[A],4,44,Agent 2 avg. pnl/hand,-0.056818
[A],4,44,Agent 3 avg. pnl/hand,-0.204545
