Source,ShoeNum,TableNum,Context,Detail
[A],3,31,Agent 3 avg. pnl/hand,0.177419
[A],3,32,Agent 1 avg. pnl/hand,0.187500
[A],3,32,Agent 2 avg. pnl/hand,0.156250
[A],3,32,Agent 3 avg. pnl/hand,0.203125
[A],3,33,Agent 1 avg. pnl/hand,0.121212
[A],3,33,Agent 2 avg. pnl/hand,0.181818
[A],3,33,Agent 3 avg. pnl/hand,0.257576
[A],3,34,Agent 1 avg. pnl/hand,0.088235
[A],3,34,Agent 2 avg. pnl/hand,0.176471
[A],3,34,Agent 3 avg. pnl/hand,0.220588
[A],3,35,Agent 1 avg. pnl/hand,0.057143
[A],3,35,Agent 2 avg. pnl/hand,0.171429
[A],3,35,Agent 3 avg. pnl/hand,0.157143
[A],3,36,Agent 1 avg. pnl/hand,0.027778
[A],3,36,Agent 2 avg. pnl/hand,0.194444
[A],3,36,Agent 3 avg. pnl/hand,0.097222
[A],3,37,Agent 1 avg. pnl/hand,0.027027
[A],3,37,Agent 2 avg. pnl/hand,0.189189
[A],3,37,Agent 3 avg. pnl/hand,0.067568
[A],3,38,Agent 1 avg. pnl/hand,0.065789
[A],3,38,Agent 2 avg. pnl/hand,0.171053
[A],3,38,Agent 3 avg. pnl/hand,0.052632
[A],3,39,Agent 1 avg. pnl/hand,0.064103
[A],3,39,Agent 2 avg. pnl/hand,0.166667
[A],3,39,Agent 3 avg. pnl/hand,0.076923
[A],3,40,Agent 1 avg. pnl/hand,0.062500
[A],3,40,Agent 2 avg. pnl/hand,0.187500
[A],3,40,Agent 3 avg. pnl/hand,0.100000
[A],3,41,Agent 1 avg. pnl/hand,0.036585
[A],3,41,Agent 2 avg. pnl/hand,0.158537
[A],3,41,Agent 3 avg. pnl/hand,0.048780
[A],3,42,Agent 1 avg. pnl/hand,0.011905
[A],3,42,Agent 2 avg. pnl/hand,0.130952
[A],3,42,Agent 3 avg. pnl/hand,0.095238
[A],3,43,Agent 1 avg. pnl/hand,0.000000
[A],3,43,Agent 2 avg. pnl/hand,0.116279
[A],3,43,Agent 3 avg. pnl/hand,0.081395
[E],3,44,Shoe Completed,
[A],4,44,Agent 1 avg. pnl/hand,0.045455
[A],4,44,Agent 2 avg. pnl/hand,0.090909
[A],4,44,Agent 3 avg. pnl/hand,0.113636
[A],4,45,Agent 1 avg. pnl/hand,0.022222
[A],4,45,Agent 2 avg. pnl/hand,0.111111
[A],4,45,Agent 3 avg. pnl/hand,0.133333
[A],4,46,Agent 1 avg. pnl/hand,0.010870
[A],4,46,Agent 2 avg. pnl/hand,0.086957
[A],4,46,Agent 3 avg. pnl/hand,0.108696
[A],4,47,Agent 1 avg. pnl/hand,0.000000
[A],4,47,Agent 2 avg. pnl/hand,0.074468
[A],4,47,Agent 3 avg. pnl/hand,0.127660
[A],4,48,Agent 1 avg. pnl/hand,-0.010417
[A],4,48,Agent 2 avg. pnl/hand,0.052083
[A],4,48,Agent 3 avg. pnl/hand,0.104167
[A],4,49,Agent 1 avg. pnl/hand,-0.030612
[A],4,49,Agent 2 avg. pnl/hand,0.030612
[A],4,49,Agent 3 avg. pnl/hand,0.102041
[A],4,50,Agent 1 avg. pnl/hand,-0.090000
[A],4,50,Agent 2 avg. pnl/hand,-0.010000
[A],4,50,Agent 3 avg. pnl/hand,0.100000
[A],4,51,Agent 1 avg. pnl/hand,-0.107843
[A],4,51,Agent 2 avg. pnl/hand,-0.009804
[A],4,51,Agent 3 avg. pnl/hand,0.088235
[A],4,52,Agent 1 avg. pnl/hand,-0.086538
[A],4,52,Agent 2 avg. pnl/hand,0.009615
[A],4,52,Agent 3 avg. pnl/hand,0.105769
[A],4,53,Agent 1 avg. pnl/hand,-0.084906
[A],4,53,Agent 2 avg. pnl/hand,0.000000
[A],4,53,Agent 3 avg. pnl/hand,0.122642
[A],4,54,Agent 1 avg. pnl/hand,-0.101852
[A],4,54,Agent 2 avg. pnl/hand,-0.018519
[A],4,54,Agent 3 avg. pnl/hand,0.120370
[A],4,55,Agent 1 avg. pnl/hand,-0.118182
[A],4,55,Agent 2 avg. pnl/hand,0.000000
[A],4,55,Agent 3 avg. pnl/hand,0.109091
[A],4,56,Agent 1 avg. pnl/hand,-0.133929
[A],4,56,Agent 2 avg. pnl/hand,0.026786
[A],4,56,Agent 3 avg. pnl/hand,0.133929
[A],4,57,Agent 1 avg. pnl/hand,-0.149123
[A],4,57,Agent 2 avg. pnl/hand,0.008772
[A],4,57,Agent 3 avg. pnl/hand,0.114035
[A],4,58,Agent 1 avg. pnl/hand,-0.129310
[A],4,58,Agent 2 avg. pnl/hand,0.043103
[A],4,58,Agent 3 avg. pnl/hand,0.129310
[E],4,59,Shoe Completed,
[A],5,59,Agent 1 avg. pnl/hand,-0.110169
[A],5,59,Agent 2 avg. pnl/hand,0.067797
[A],5,59,Agent 3 avg. pnl/hand,0.144068
[A],5,60,Agent 1 avg. pnl/hand,-0.141667
[A],5,60,Agent 2 avg. pnl/hand,0.033333
[A],5,60,Agent 3 avg. pnl/hand,0.175000
[A],5,61,Agent 1 avg. pnl/hand,-0.155738
[A],5,61,Agent 2 avg. pnl/hand,0.016393
[A],5,61,Agent 3 avg. pnl/hand,0.188525
[A],5,62,Agent 1 avg. pnl/hand,-0.129032
[A],5,62,Agent 2 avg. pnl/hand,0.000000
[A],5,62,Agent 3 avg. pnl/hand,0.169355
[A],5,63,Agent 1 avg. pnl/hand,-0.063492
[A],5,63,Agent 2 avg. pnl/hand,0.031746
[A],5,63,Agent 3 avg. pnl/hand,0.182540
[A],5,64,Agent 1 avg. pnl/hand,-0.078125
[A],5,64,Agent 2 avg. pnl/hand,0.000000
[A],5,64,Agent 3 avg. pnl/hand,0.148438
[A],5,65,Agent 1 avg. pnl/hand,-0.046154
[A],5,65,Agent 2 avg. pnl/hand,0.030769
[A],5,65,Agent 3 avg. pnl/hand,0.176923
[A],5,66,Agent 1 avg. pnl/hand,-0.060606
[A],5,66,Agent 2 avg. pnl/hand,0.022727
[A],5,66,Agent 3 avg. pnl/hand,0.159091
[A],5,67,Agent 1 avg. pnl/hand,-0.089552
[A],5,67,Agent 2 avg. pnl/hand,0.014925
[A],5,67,Agent 3 avg. pnl/hand,0.141791
[A],5,68,Agent 1 avg. pnl/hand,-0.117647
[A],5,68,Agent 2 avg. pnl/hand,0.014706
[A],5,68,Agent 3 avg. pnl/hand,0.125000
[A],5,69,Agent 1 avg. pnl/hand,-0.130435
[A],5,69,Agent 2 avg. pnl/hand,0.000000
[A],5,69,Agent 3 avg. pnl/hand,0.108696
[A],5,70,Agent 1 avg. pnl/hand,-0.135714
[A],5,70,Agent 2 avg. pnl/hand,-0.007143
[A],5,70,Agent 3 avg. pnl/hand,0.121429
[A],5,71,Agent 1 avg. pnl/hand,-0.105634
[A],5,71,Agent 2 avg. pnl/hand,-0.021127
[A],5,71,Agent 3 avg. pnl/hand,0.105634
[A],5,72,Agent 1 avg. pnl/hand,-0.104167
[A],5,72,Agent 2 avg. pnl/hand,-0.006944
[A],5,72,Agent 3 avg. pnl/hand,0.118056
[E],5,73,Shoe Completed,
[A],6,73,Agent 1 avg. pnl/hand,-0.082192
[A],6,73,Agent 2 avg. pnl/hand,0.006849
[A],6,73,Agent 3 avg. pnl/hand,0.102740
[A],6,74,Agent 1 avg. pnl/hand,-0.094595
[A],6,74,Agent 2 avg. pnl/hand,0.027027
[A],6,74,Agent 3 avg. pnl/hand,0.087838
[A],6,75,Agent 1 avg. pnl/hand,-0.106667
[A],6,75,Agent 2 avg. pnl/hand,0.053333
[A],6,75,Agent 3 avg. pnl/hand,0.080000
[A],6,76,Agent 1 avg. pnl/hand,-0.092105
[A],6,76,Agent 2 avg. pnl/hand,0.065789
[A],6,76,Agent 3 avg. pnl/hand,0.105263
[A],6,77,Agent 1 avg. pnl/hand,-0.097403
[A],6,77,Agent 2 avg. pnl/hand,0.051948
[A],6,77,Agent 3 avg. pnl/hand,0.090909
[A],6,78,Agent 1 avg. pnl/hand,-0.083333
[A],6,78,Agent 2 avg. pnl/hand,0.064103
[A],6,78,Agent 3 avg. pnl/hand,0.102564
[A],6,79,Agent 1 avg. pnl/hand,-0.063291
[A],6,79,Agent 2 avg. pnl/hand,0.088608
[A],6,79,Agent 3 avg. pnl/hand,0.126582
[A],6,80,Agent 1 avg. pnl/hand,-0.050000
[A],6,80,Agent 2 avg. pnl/hand,0.100000
[A],6,80,Agent 3 avg. pnl/hand,0.137500
[A],6,81,Agent 1 avg. pnl/hand,-0.037037
[A],6,81,Agent 2 avg. pnl/hand,0.074074
[A],6,81,Agent 3 avg. pnl/hand,0.123457
[A],6,82,Agent 1 avg. pnl/hand,-0.042683
[A],6,82,Agent 2 avg. pnl/hand,0.067073
[A],6,82,Agent 3 avg. pnl/hand,0.115854
[A],6,83,Agent 1 avg. pnl/hand,-0.078313
[A],6,83,Agent 2 avg. pnl/hand,0.084337
[A],6,83,Agent 3 avg. pnl/hand,0.126506
[A],6,84,Agent 1 avg. pnl/hand,-0.089286
[A],6,84,Agent 2 avg. pnl/hand,0.077381
[A],6,84,Agent 3 avg. pnl/hand,0.119048
[A],6,85,Agent 1 avg. pnl/hand,-0.100000
[A],6,85,Agent 2 avg. pnl/hand,0.070588
[A],6,85,Agent 3 avg. pnl/hand,0.105882
[A],6,86,Agent 1 avg. pnl/hand,-0.087209
[A],6,86,Agent 2 avg. pnl/hand,0.081395
[A],6,86,Agent 3 avg. pnl/hand,0.116279
[A],6,87,Agent 1 avg. pnl/hand,-0.074713
[A],6,87,Agent 2 avg. pnl/hand,0.080460
[A],6,87,Agent 3 avg. pnl/hand,0.137931
[E],6,88,Shoe Completed,
[A],7,88,Agent 1 avg. pnl/hand,-0.062500
[A],7,88,Agent 2 avg. pnl/hand,0.056818
[A],7,88,Agent 3 avg. pnl/hand,0.147727
[A],7,89,Agent 1 avg. pnl/hand,-0.084270
[A],7,89,Agent 2 avg. pnl/hand,0.056180
[A],7,89,Agent 3 avg. pnl/hand,0.168539
[A],7,90,Agent 1 avg. pnl/hand,-0.088889
[A],7,90,Agent 2 avg. pnl/hand,0.055556
[A],7,90,Agent 3 avg. pnl/hand,0.188889
[A],7,91,Agent 1 avg. pnl/hand,-0.076923
[A],7,91,Agent 2 avg. pnl/hand,0.065934
[A],7,91,Agent 3 avg. pnl/hand,0.197802
